"aqExample"
"20180701 - 20180731"
"SO4"
""
"IMPROVE"
"network","stat_id","lat","lon","row","col","ob_dates","ob_datee","ob_hour","month","SO4_ob","SO4_mod","POCode","state","county","stat_id_noPOC"
"IMPROVE","ACAD11",44.3771,-68.261,"215","400",2018-07-10,2018-07-10,"00",7,0.64002,0.88529,"1","ME"," Hancock","ACAD1"
"IMPROVE","ACAD11",44.3771,-68.261,"215","400",2018-07-19,2018-07-19,"00",7,0.29652,0.40926,"1","ME"," Hancock","ACAD1"
"IMPROVE","ACAD11",44.3771,-68.261,"215","400",2018-07-22,2018-07-22,"00",7,0.80904,0.38854,"1","ME"," Hancock","ACAD1"
"IMPROVE","ACAD11",44.3771,-68.261,"215","400",2018-07-25,2018-07-25,"00",7,0.46139,0.17395,"1","ME"," Hancock","ACAD1"
"IMPROVE","ACAD11",44.3771,-68.261,"215","400",2018-07-28,2018-07-28,"00",7,1.1291,0.70671,"1","ME"," Hancock","ACAD1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-01,2018-07-01,"00",7,0.74374,0.59735,"1","CA"," Riverside","AGTI1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-13,2018-07-13,"00",7,1.837,0.51194,"1","CA"," Riverside","AGTI1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-16,2018-07-16,"00",7,1.8226,0.66738,"1","CA"," Riverside","AGTI1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-19,2018-07-19,"00",7,2.2158,0.35762,"1","CA"," Riverside","AGTI1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-22,2018-07-22,"00",7,1.1258,0.57644,"1","CA"," Riverside","AGTI1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-25,2018-07-25,"00",7,1.9103,0.55261,"1","CA"," Riverside","AGTI1"
"IMPROVE","AGTI11",33.4636,-116.9706,"101","061",2018-07-28,2018-07-28,"00",7,2.7901,0.942,"1","CA"," Riverside","AGTI1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-01,2018-07-01,"00",7,0.19054,0.22961,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-04,2018-07-04,"00",7,0.25296,0.55434,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-07,2018-07-07,"00",7,1.0476,0.77229,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-10,2018-07-10,"00",7,1.0515,0.7249,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-13,2018-07-13,"00",7,0.4448,0.33334,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-16,2018-07-16,"00",7,0.64997,0.41696,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-19,2018-07-19,"00",7,0.36364,0.31387,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-22,2018-07-22,"00",7,0.95349,0.70612,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-25,2018-07-25,"00",7,0.40321,0.4438,"1","SD"," Jackson","BADL1"
"IMPROVE","BADL11",43.7435,-101.9412,"180","181",2018-07-28,2018-07-28,"00",7,0.6668,0.25075,"1","SD"," Jackson","BADL1"
"IMPROVE","BALD11",34.0584,-109.4406,"096","118",2018-07-01,2018-07-01,"00",7,0.30863,0.40311,"1","AZ"," Apache","BALD1"
"IMPROVE","BALD11",34.0584,-109.4406,"096","118",2018-07-10,2018-07-10,"00",7,0.38635,0.31978,"1","AZ"," Apache","BALD1"
"IMPROVE","BALD11",34.0584,-109.4406,"096","118",2018-07-13,2018-07-13,"00",7,0.69887,0.14912,"1","AZ"," Apache","BALD1"
"IMPROVE","BALD11",34.0584,-109.4406,"096","118",2018-07-16,2018-07-16,"00",7,0.30909,0.20046,"1","AZ"," Apache","BALD1"
